"","Cluster","Total"
"1","Archaeoglobus sulfaticallidus",2
"2","Bilophila wadsworthia",772
"3","Desulfitibacter alkalitolerans",153
"4","Desulfitobacterium hafniense",6
"5","Desulfosporosinus youngiae",3
"6","Desulfovibrio carbinoliphilus",1
"7","Desulfovibrio desulfuricans",1
"8","Desulfovibrio desulfuricans and Desulfovibrio simplex cluster",277
"9","Desulfovibrio piger",219
"10","Desulfovibrio vulgaris",52
"11","Gordonibacter pamelaeae",84
"12","Thermodesulfobium narugense",15
"13","uncultured bacterium from aquifer",1
"14","uncultured bacterium from rice field",1
"15","uncultured bacterium from termite protist",5
"16","uncultured Desulfovibrio sp.",49
"17","uncultured Firmicute from aquifer",1
"18","uncultured Firmicute from arctic sediment",1
"19","uncultured Firmicute from bioreactor",4
"20","uncultured Firmicute from deep sea sediment",2
"21","uncultured Firmicute from digester",17
"22","uncultured Firmicute from estuary",2
"23","uncultured Firmicute from industrial environment",168
